,,µg/L,µg/L,m,,,,
Lake,ID,FPChl-a,Lab Chl.a,Depth,Date,Site,Position,Type
Canandaigua,20190905-CGLT(4)-Surf-WS,4.42,3.07,0.5,09/05/19,CGLT(4),Surf,WS
Canandaigua,20190905-CGLT(4)-Epi-WS,4.21,,2,09/05/19,CGLT(4),Epi,WS
Canandaigua,20190905-CGLT(1)-Hypo-EB,0.00,,QC,09/05/19,CGLT(1),QC,EB
Canandaigua,20190905-CGLT(1)-Hypo-QC,0.49,,QC,09/05/19,CGLT(1),QC,DUP
Canandaigua,20190919-CGS1-Surf-WS,5.29,,0.5,09/19/19,CGS1,Surf,WS
Canandaigua,20190919-CGS1-Epi-WS,4.66,,2,09/19/19,CGS1,Epi,WS
Canandaigua,20190919-CGS1-Tcline-WS,0.95,,15,09/19/19,CGS1,Tcline,WS
Canandaigua,20190919-CGS1-Hypo-WS,0.51,,38,09/19/19,CGS1,Hypo,WS
Canandaigua,20190919-CGS1-Bott-WS,0.54,,54,09/19/19,CGS1,Bott,WS
Canandaigua,20190919-CGLT(1)-Surf-WS,5.36,3.45,0.5,09/19/19,CGLT(1),Surf,WS
Canandaigua,20190919-CGLT(1)-Epi-WS,4.65,2.91,2,09/19/19,CGLT(1),Epi,WS
Canandaigua,20190919-CGLT(1)-Tcline-WS,2.09,1.83,15,09/19/19,CGLT(1),Tcline,WS
Canandaigua,20190919-CGLT(1)-Hypo-WS,1.33,0.745,20,09/19/19,CGLT(1),Hypo,WS
Canandaigua,20190919-CGLT(1)-Bott-WS,0.47,,25,09/19/19,CGLT(1),Bott,WS
Canandaigua,20190919-CGLT(1W)-Surf-WS,3.97,,0.5,09/19/19,CGLT(1W),Surf,WS
Canandaigua,20190919-CGLT(1W)-Epi-WS,3.56,,2,09/19/19,CGLT(1W),Epi,WS
Canandaigua,20190919-CGLT(1W)-Tcline-WS,,,,09/19/19,CGLT(1W),Tcline,WS
Canandaigua,20190919-CGLT(1W)-Bott-WS,1.31,,15,09/19/19,CGLT(1W),Bott,WS
Canandaigua,20190919-CGLT(1E)-Surf-WS,5.56,,0.5,09/19/19,CGLT(1E),Surf,WS
Canandaigua,20190919-CGLT(1E)-Epi-WS,4.97,,2,09/19/19,CGLT(1E),Epi,WS
Canandaigua,20190919-CGLT(1E)-Tcline-WS,,,,09/19/19,CGLT(1E),Tcline,WS
Canandaigua,20190919-CGLT(1E)-Bott-WS,4.20,,14,09/19/19,CGLT(1E),Bott,WS
Canandaigua,20190919-CGLT(2)-Surf-WS,5.11,3.01,0.5,09/19/19,CGLT(2),Surf,WS
Canandaigua,20190919-CGLT(2)-Epi-WS,4.04,2.95,2,09/19/19,CGLT(2),Epi,WS
Canandaigua,20190919-CGLT(3)-Surf-WS,3.61,2.34,0.5,09/19/19,CGLT(3),Surf,WS
Canandaigua,20190919-CGLT(3)-Epi-WS,3.11,,2,09/19/19,CGLT(3),Epi,WS
Canandaigua,20190919-CGLT(4)-Surf-WS,3.40,2.62,0.5,09/19/19,CGLT(4),Surf,WS
Canandaigua,20190919-CGLT(4)-Epi-WS,3.06,,2,09/19/19,CGLT(4),Epi,WS
Canandaigua,20190919-CGLT(1)-Epi-EB,0.05,,QC,09/19/19,CGLT(1),QC,EB
Canandaigua,20190919-CGLT(1)-Epi-QC,3.62,,QC,09/19/19,CGLT(1),QC,DUP
Canandaigua,20191008-CGS1-Surf-WS,2.71,,0.5,10/08/19,CGS1,Surf,WS
Canandaigua,20191008-CGS1-Epi-WS,2.85,,2,10/08/19,CGS1,Epi,WS
Canandaigua,20191008-CGS1-Tcline-WS,1.03,,18,10/08/19,CGS1,Tcline,WS
Canandaigua,20191008-CGS1-Hypo-WS,0.38,,39,10/08/19,CGS1,Hypo,WS
Canandaigua,20191008-CGS1-Bott-WS,0.40,,54,10/08/19,CGS1,Bott,WS
Canandaigua,20191008-CGLT(1)-Surf-WS,2.90,2.13,0.5,10/08/19,CGLT(1),Surf,WS
Canandaigua,20191008-CGLT(1)-Epi-WS,3.06,2.63,2,10/08/19,CGLT(1),Epi,WS
Canandaigua,20191008-CGLT(1)-Tcline-WS,1.04,0.845,17,10/08/19,CGLT(1),Tcline,WS
Canandaigua,20191008-CGLT(1)-Hypo-WS,1.17,0.571,18,10/08/19,CGLT(1),Hypo,WS
Canandaigua,20191008-CGLT(1)-Bott-WS,0.60,,25,10/08/19,CGLT(1),Bott,WS
Canandaigua,20191008-CGLT(1W)-Surf-WS,2.55,,0.5,10/08/19,CGLT(1W),Surf,WS
Canandaigua,20191008-CGLT(1W)-Epi-WS,2.89,,2,10/08/19,CGLT(1W),Epi,WS
Canandaigua,20191008-CGLT(1W)-Tcline-WS,,,,10/08/19,CGLT(1W),Tcline,WS
Canandaigua,20191008-CGLT(1W)-Bott-WS,2.80,,9,10/08/19,CGLT(1W),Bott,WS
Canandaigua,20191008-CGLT(1E)-Surf-WS,2.86,,0.5,10/08/19,CGLT(1E),Surf,WS
Canandaigua,20191008-CGLT(1E)-Epi-WS,3.46,,2,10/08/19,CGLT(1E),Epi,WS
Canandaigua,20191008-CGLT(1)-Tcline-WS,,0.845,,10/08/19,CGLT(1E),Tcline,WS
Canandaigua,20191008-CGLT(1E)-Bott-WS,0.83,,15,10/08/19,CGLT(1E),Bott,WS
Canandaigua,20191008-CGLT(2)-Surf-WS,2.96,2.37,0.5,10/08/19,CGLT(2),Surf,WS
Canandaigua,20191008-CGLT(2)-Epi-WS,3.50,1.72,2,10/08/19,CGLT(2),Epi,WS
Canandaigua,20191008-CGLT(3)-Surf-WS,2.81,1.73,0.5,10/08/19,CGLT(3),Surf,WS
Canandaigua,20191008-CGLT(3)-Epi-WS,1.77,,2,10/08/19,CGLT(3),Epi,WS
Canandaigua,20191008-CGLT(4)-Surf-WS,2.13,1.71,0.5,10/08/19,CGLT(4),Surf,WS
Canandaigua,20191008-CGLT(4)-Epi-WS,1.82,,2,10/08/19,CGLT(4),Epi,WS
Canandaigua,20191008-CGLT(1)-Epi-EB,0.00,,QC,10/08/19,CGLT(1),QC,EB
Canandaigua,20191008-CGLT(1)-Epi-QC,3.03,,QC,10/08/19,CGLT(1),QC,DUP
Canandaigua,20191029-CGS1-Surf-WS,2.56,,0.5,10/29/19,CGS1,Surf,WS
Canandaigua,20191029-CGS1-Epi-WS,2.56,,2,10/29/19,CGS1,Epi,WS
Canandaigua,20191029-CGS1-Tcline-WS,2.04,,29,10/29/19,CGS1,Tcline,WS
Canandaigua,20191029-CGS1-Hypo-WS,1.79,,36,10/29/19,CGS1,Hypo,WS
Canandaigua,20191029-CGS1-Bott-WS,0.46,,55,10/29/19,CGS1,Bott,WS
Canandaigua,20191029-CGLT(1)-Surf-WS,2.23,1.19,0.5,10/29/19,CGLT(1),Surf,WS
Canandaigua,20191029-CGLT(1)-Epi-WS,2.24,1.31,2,10/29/19,CGLT(1),Epi,WS
Canandaigua,20191029-CGLT(1)-Tcline-WS,,,,10/29/19,CGLT(1),Tcline,WS
Canandaigua,20191029-CGLT(1)-Hypo-WS,1.97,1.35,20,10/29/19,CGLT(1),Hypo,WS
Canandaigua,20191029-CGLT(1)-Bott-WS,0.95,,24,10/29/19,CGLT(1),Bott,WS
Canandaigua,20191029-CGLT(1W)-Surf-WS,1.65,,0.5,10/29/19,CGLT(1W),Surf,WS
Canandaigua,20191029-CGLT(1W)-Epi-WS,1.58,,2,10/29/19,CGLT(1W),Epi,WS
Canandaigua,20191029-CGLT(1W)-Tcline-WS,,,,10/29/19,CGLT(1W),Tcline,WS
Canandaigua,20191029-CGLT(1W)-Bott-WS,0.98,,13,10/29/19,CGLT(1W),Bott,WS
Canandaigua,20191029-CGLT(1E)-Surf-WS,1.58,,0.5,10/29/19,CGLT(1E),Surf,WS
Canandaigua,20191029-CGLT(1E)-Epi-WS,1.44,,2,10/29/19,CGLT(1E),Epi,WS
Canandaigua,20191029-CGLT(1)-Tcline-WS,,,,10/29/19,CGLT(1E),Tcline,WS
Canandaigua,20191029-CGLT(1E)-Bott-WS,1.23,,15,10/29/19,CGLT(1E),Bott,WS
Canandaigua,20191029-CGLT(2)-Surf-WS,1.24,0.908,0.5,10/29/19,CGLT(2),Surf,WS
Canandaigua,20191029-CGLT(2)-Epi-WS,1.30,1,2,10/29/19,CGLT(2),Epi,WS
Canandaigua,20191029-CGLT(3)-Surf-WS,0.72,0.752,0.5,10/29/19,CGLT(3),Surf,WS
Canandaigua,20191029-CGLT(3)-Epi-WS,0.65,,2,10/29/19,CGLT(3),Epi,WS
Canandaigua,20191029-CGLT(4)-Surf-WS,0.68,0.586,0.5,10/29/19,CGLT(4),Surf,WS
Canandaigua,20191029-CGLT(4)-Epi-WS,0.82,,2,10/29/19,CGLT(4),Epi,WS
Canandaigua,20191029-CGLT(2)-Epi-EB,0.00,,QC,10/29/19,CGLT(1),QC,EB
Canandaigua,20191029-CGLT(2)-Epi-QC,1.08,,QC,10/29/19,CGLT(1),QC,DUP
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
